title,journal,cites,year,first,url,sub
Ecosystem services in connected catchment to coast ecosystems: Monitoring to detect emerging trends,Science of the Total Environment,0,2023,TRUE,https://www.sciencedirect.com/science/article/pii/S0048969723002851,
Entry fees enhance marine protected area management and outcomes,Biological Conservation,0,2023,TRUE,https://www.sciencedirect.com/science/article/pii/S0006320723002069,
Interactions among multiple stressors vary with exposure duration and biological response,"Proceedings of the Royal Society B ",0,2023,FALSE,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2022.0348,
"Interactive effects of multiple stressors vary with consumer interactions, stressor dynamics and magnitude",Ecology Letters,0,2022,FALSE,https://onlinelibrary.wiley.com/doi/full/10.1111/ele.14013,
Ambitious global targets for mangrove and seagrass recovery,Current Biology,,2022,FALSE,https://www.sciencedirect.com/science/article/pii/S0960982222002354,
A global review of the critical link between river flows and productivity in marine fisheries,Reviews in Fish Biology and Fisheries,0,2022,FALSE,https://link.springer.com/article/10.1007/s11160-022-09711-0,
Anthropogenic pressures and life history predict trajectories of seagrass meadow extent at a global scale,PNAS,,2021,FALSE,https://www.pnas.org/doi/10.1073/pnas.2110802118,
Global typologies of coastal wetland status to inform conservation and management,Ecological Indicators,,2021,FALSE,https://www.sciencedirect.com/science/article/pii/S1470160X21008062,
Future carbon emissions from global mangrove forest loss,Global Change Biology,0,2021,FALSE,https://doi.org/10.1111/gcb.15571,
Electronic monitoring for improved accountability in western pacific tuna longline fisheries,Marine Policy,0,2021,TRUE,https://doi.org/10.1016/j.marpol.2021.104664,
Opportunities for improving recognition of coastal wetlands in global ecosystem assessment frameworks,Ecological Indicators,0,2021,TRUE,https://doi.org/10.1016/j.ecolind.2021.107694,
Long-term declines and recovery of meadow area across the world's seagrass bioregions,Global Change Biology,0,2021,FALSE,https://doi.org/10.1111/gcb.15684,
Direct and indirect effects of heatwaves on a coral reef fishery,Global Change Biology,0,2021,TRUE,https://doi.org/10.1111/gcb.15472,
Multi-scale estimation of the effects of pressures and drivers on mangrove forest loss globally,Biological Conservation,0,2020,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0006320720306959,We show forest fragmentation predicts mangrove deforestation
Linking threat maps with management to guide conservation investment,Biological Conservation,0,2020,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0006320719318889,"Guiding conservation investment for land, marine and climate stressors of marine ecosystems"
Critical gaps in seagrass protection reveal the need to address multiple pressures and cumulative impacts,Ocean and Coastal Management,4,2019,FALSE,https://www.sciencedirect.com/science/article/pii/S0964569119303035,Management of seagrass ecosystems isn't addressing cumulative impacts
The Role of Vegetated Coastal Wetlands for Marine Megafauna Conservation,Trends in Ecology and Evolution,20,2019,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0169534719301090,"We review how seagrass, saltmarsh and mangroves support threatened species"
The assessment of fishery status depends on fish habitats,Fish and Fisheries,0,2018,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/faf.12318,"We review the use of habitats by fisheries species and find stock global stock assessments that ignore habitat change may misrepresent sustainability of fisheries "
Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching,"Nature ",,2018,FALSE,https://www.nature.com/articles/s41586-018-0359-9,
Estimating the footprint of pollution on coral reefs with models of species turnover,Conservation Biology,0,2018,TRUE,http://onlinelibrary.wiley.com/doi/10.1111/cobi.13079/full,
"Impacts of fishing, river flow and connectivity loss on the conservation of a migratory fish population",Aquatic Conservation: Marine and Freshwater Ecosystems,0,2018,FALSE,https://www.researchgate.net/profile/Christopher_Brown64/publication/320375667_Impacts_of_fishing_river_flow_and_connectivity_loss_on_the_conservation_of_a_migratory_fish_population/links/5a052eae0f7e9bc40791e4e1/Impacts-of-fishing-river-flow-and-connectivity-loss-on-the-conservation-of-a-migratory-fish-population.pdf,
Habitat change mediates the response of coral reef fish populations to terrestrial run-off,Marine Ecology Progress Series,0,2017,TRUE,http://www.int-res.com/articles/meps2017/576/m576p055.pdf,
Trade-offs in triple-bottom-line outcomes when recovering fisheries,Fish and Fisheries,0,2017,TRUE,https://www.researchgate.net/profile/Christopher_Brown64/publication/319183787_Trade-offs_in_triple-bottom-line_outcomes_when_recovering_fisheries/links/5999faa9aca272e41d3ec674/Trade-offs-in-triple-bottom-line-outcomes-when-recovering-fisheries.pdf,
Climate change decouples marine and freshwater habitats of a threatened migratory fish,Diversity and Distributions,0,2017,FALSE,http://onlinelibrary.wiley.com/doi/10.1111/ddi.12570/full,no open access PDF
Interactions among ecosystem stressors and their importance in conservation.,Proceedings of the Royal Society B,57,2016,FALSE,http://rspb.royalsocietypublishing.org/content/royprsb/283/1824/20152592.full.pdf,
Ecological and methodological drivers of species distribution and phenology responses to climate change,Global Change Biology,17,2016,TRUE,http://repository.kaust.edu.sa/kaust/bitstream/10754/584246/1/Brown_et_al-Global_Change_Biology.pdf,
Fisheries and biodiversity benefits of using static versus dynamic models for designing marine reserve networks,Ecosphere,10,2015,TRUE,http://onlinelibrary.wiley.com/doi/10.1890/ES14-00429.1/epdf,
"Unintended cultivation, shifting baselines, and conflict between objectives for fisheries and conservation",Conservation Biology,14,2014,TRUE,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12267/full,no open access PDF
Trade-offs between fisheries and the conservation of ecosystem function are defined by management strategy,Frontiers in Ecology and the Environment,13,2014,TRUE,https://espace.library.uq.edu.au/data/UQ_338874/UQ338874_OA.pdf?Expires=1516844536&Signature=JIov4kVIO4M41v3R1IBiO4vPcXsxv7v60mIX3tDxgcxia03WU~SS-2Fv3GIuzWI0W9NSMRpWii807MrMTFN3~xeT2bp9iWJioy~NBfmfTDi~SVjHxItn7h8PEkpz71Va5~mTEwn9MpME8ID0eDImQI57k5Mlxe676320d-vt7PtwC9BZMisL2xECyfP89uUz0t5ywCDJpmBebbt~hmmEkQaCvOMaNNFMSrXUo6d4h0NXrQOzhoKPCFxMB85BmXNLagKJPi8201KITMIJWZ8D0PfnJcM7cEDF8VydOqX9Mc~OY7nuaSmrhXjbcdy4DInWBDN003GMmfleBM5-WD29LA__&Key-Pair-Id=APKAJKNBJ4MJBJNC6NLQ,
Global imprint of climate change on marine life,Nature Climate Change,492,2013,FALSE,https://www.researchgate.net/profile/Pippa_Moore/publication/256426448_Global_imprint_of_climate_change_on_marine_life/links/004635230186961bd3000000.pdf,
Managing for interactions between local and global stressors of ecosystems,PLoS One,89,2013,TRUE,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0065765&type=printable,
The pace of shifting climate in marine and terrestrial ecosystems,Science,583,2011,FALSE,http://science.sciencemag.org/content/sci/334/6056/652.full.pdf,
Quantitative approaches in climate change ecology,Global Change Biology,88,2011,TRUE,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2011.02531.x/epdf,